Start Date,End Date,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,Total Advertising Cost of Sales (ACoS) ,Total Return on Advertising Spend (RoAS)
10-Jun-21,10-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,kids lunch plate,3,1,33.33%,1.01,1.01,,0.0
25-May-21,10-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,kids melamine plates,43,3,6.98%,1.45,4.35,,0.0
5-Jun-21,5-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,kids non toxic plates,7,1,14.29%,1.9,1.9,,0.0
27-May-21,5-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,kids plate set,418,5,1.20%,1.33,6.66,,0.0
31-May-21,9-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,kids plate sets for boys,9,2,22.22%,1.47,2.93,,0.0
12-Jun-21,12-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,kids plates bpa free,2,1,50.00%,1.66,1.66,,0.0
30-May-21,30-May-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,kids plates bulk,42,1,2.38%,1.06,1.06,,0.0
26-May-21,26-May-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,kids plates melamine noahs ark,2,1,50.00%,1.18,1.18,,0.0
6-Jun-21,6-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,kids plates montessori,5,1,20.00%,1.35,1.35,,0.0
3-Jun-21,3-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,kids plates neutral,3,1,33.33%,1.11,1.11,,0.0
28-May-21,28-May-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,kids plates set,21,1,4.76%,1.76,1.76,,0.0
10-Jun-21,10-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,kids plates set 9 in,3,1,33.33%,1.82,1.82,,0.0
7-Jun-21,8-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,kids plates with lids,8,2,25.00%,1.38,2.76,,0.0
2-Jun-21,2-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,kids reusable plates,71,1,1.41%,1.77,1.77,,0.0
28-May-21,28-May-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,kids serving plate,2,1,50.00%,2.16,2.16,,0.0
8-Jun-21,9-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,kids stackable plates,3,2,66.67%,1.14,2.28,,0.0
5-Jun-21,5-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,kinto kids plate,4,1,25.00%,1.88,1.88,,0.0
26-May-21,26-May-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,little kid plates sets,6,1,16.67%,1.29,1.29,,0.0
31-May-21,8-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,melamine kids plates,64,5,7.81%,1.52,7.62,30.49%,3.28
31-May-21,12-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,melamine plates for kids,25,5,20.00%,1.79,8.95,,0.0
28-May-21,6-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,melamine plates kids,41,4,9.76%,1.44,5.77,23.09%,4.33
27-May-21,27-May-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,metal kids plates,92,1,1.09%,1.2,1.2,,0.0
5-Jun-21,10-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,paintable plates for kids,1927,4,0.21%,0.66,2.63,,0.0
27-May-21,27-May-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,pasta plates for kids,10,2,20.00%,1.84,3.68,14.73%,6.79
31-May-21,4-Jun-21,Rainforest - Manual,Broad Ad Group,kids plates,BROAD,pillowfort plates kids,20,2,10.00%,1.59,3.17,,0.0
