Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACoS) ,Total Return on Advertising Spend (RoAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"May 25, 2021","Jun 19, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B07KYXRLSN""",-,b07kyxrlsn,20399,220,1.0785%,$1.10,$242.10,$459.82,52.6510%,1.90,18,18,8.1818%,14,4,$354.86,$104.96
"May 26, 2021","Jun 18, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B07MR15921""",-,b07mr15921,600,10,1.6667%,$0.98,$9.83,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 27, 2021","Jun 18, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B07FYLCGPT""",-,b07fylcgpt,577,13,2.2530%,$1.14,$14.78,$24.99,59.1437%,1.69,1,1,7.6923%,1,0,$24.99,$0.00
"May 26, 2021","Jun 18, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B082DCX76S""",-,b082dcx76s,983,24,2.4415%,$1.04,$24.97,$49.98,49.9600%,2.00,2,2,8.3333%,2,0,$49.98,$0.00
"Jun 13, 2021","Jun 13, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B07DDBC5LF""",-,b07ddbc5lf,16,1,6.2500%,$1.31,$1.31,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 25, 2021","Jun 13, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B07FP3NYST""",-,b07fp3nyst,7693,56,0.7279%,$0.79,$44.06,$49.98,88.1553%,1.13,2,2,3.5714%,2,0,$49.98,$0.00
"May 26, 2021","Jun 18, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B07V4BGBG8""",-,b07v4bgbg8,1180,13,1.1017%,$0.92,$11.91,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 25, 2021","Jun 16, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B0757H6FSM""",-,b0757h6fsm,2033,26,1.2789%,$1.31,$34.14,$74.97,45.5382%,2.20,3,3,11.5385%,2,1,$49.98,$24.99
"Jun 05, 2021","Jun 19, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B08F2PR7JS""",-,b08f2pr7js,5157,40,0.7756%,$0.76,$30.31,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 27, 2021","Jun 18, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B07KYX5MHX""",-,b07kyx5mhx,5964,50,0.8384%,$0.99,$49.25,$99.96,49.2697%,2.03,4,4,8.0000%,4,0,$99.96,$0.00
"May 29, 2021","May 29, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B07FP4X2RL""",-,b07fp4x2rl,24,1,4.1667%,$1.26,$1.26,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Jun 02, 2021","Jun 18, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B071CHZBKM""",-,b071chzbkm,247,9,3.6437%,$0.89,$8.04,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 27, 2021","Jun 16, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B07FZKKZG6""",-,b07fzkkzg6,136,5,3.6765%,$0.80,$3.99,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 26, 2021","Jun 17, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B087L7Q1N5""",-,b087l7q1n5,224,8,3.5714%,$0.82,$6.55,$24.99,26.2105%,3.82,1,1,12.5000%,1,0,$24.99,$0.00
"Jun 04, 2021","Jun 17, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B01AVH0K4C""",-,b01avh0k4c,1165,12,1.0300%,$0.95,$11.44,$49.98,22.8892%,4.37,2,2,16.6667%,2,0,$49.98,$0.00
"May 25, 2021","Jun 16, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B07Z52GJMN""",-,b07z52gjmn,146,4,2.7397%,$1.19,$4.77,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Jun 08, 2021","Jun 08, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B071D2YSPM""",-,b071d2yspm,9,1,11.1111%,$0.67,$0.67,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 27, 2021","Jun 15, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B0757GLR1F""",-,b0757glr1f,1268,17,1.3407%,$1.21,$20.50,$24.99,82.0328%,1.22,1,1,5.8824%,1,0,$24.99,$0.00
"May 28, 2021","May 29, 2021",Not grouped,USD,Floral - ASIN,ASIN,"asin=""B082DCSYCK""",-,b082dcsyck,112,2,1.7857%,$2.55,$5.10,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
