amazon_order_id,purchase_date,order_total,add_city,Abbrev,add_postal,add_country,number_items,total_item_quantity,Product,repeat_buyer,Month
113-2066556-6734633,2021-02-09 06:08 AM PST,32.65,YONKERS,NY,10703-2216,US,1,1,Rainforest,0.0,02
114-0727201-8405859,2021-02-09 07:23 AM PST,32.38,FRESNO,CA,93728-1821,US,1,1,Floral,0.0,02
114-6600981-0789058,2021-02-09 07:46 AM PST,31.64,SIDNEY,ME,04330-2345,US,1,1,Rainforest,0.0,02
112-7850371-5397045,2021-02-09 08:12 AM PST,32.61,CONCORD,CA,94519-1518,US,1,1,Floral,0.0,02
114-0244152-3797074,2021-02-09 08:45 AM PST,32.31,PALM DESERT,CA,92211-8984,US,1,1,Floral,0.0,02
111-4408235-8833812,2021-02-09 09:20 AM PST,31.86,WEST SPRINGFIELD,MA,01089-1934,US,1,1,Rainforest,0.0,02
114-4198450-2865809,2021-02-09 09:34 AM PST,29.99,WILDERVILLE,OR,97543-9030,US,1,1,Rainforest,0.0,02
113-0159248-7521067,2021-02-09 09:40 AM PST,32.84,TUJUNGA,CA,91042-2110,US,1,1,Rainforest,0.0,02
112-2857783-3344256,2021-02-09 10:16 AM PST,32.01,BURLINGTON,NC,27215-4301,US,1,1,Floral,0.0,02
111-2017793-4744209,2021-02-09 11:00 AM PST,31.86,Somerville,MA,2143,US,1,1,Rainforest,0.0,02
113-5852467-7758610,2021-02-09 11:01 AM PST,32.65,New york,NY,10026,US,1,1,Rainforest,0.0,02
113-8686409-7749031,2021-02-09 11:43 AM PST,30.89,UNALASKA,AK,99685-0821,US,1,1,Rainforest,0.0,02
113-6340519-8682661,2021-02-09 11:48 AM PST,32.09,MAPLEVILLE,RI,02839-1237,US,1,1,Rainforest,0.0,02
111-6137162-9953864,2021-02-09 12:17 PM PST,32.76,PLEASANTON,CA,94588-3594,US,1,1,Rainforest,0.0,02
112-5889198-0082603,2021-02-09 12:51 PM PST,32.5,LAS VEGAS,NV,89128-0413,US,1,1,Rainforest,0.0,02
113-5785726-4740254,2021-02-09 12:52 PM PST,32.76,OAKLAND,CA,94609-1102,US,1,1,Floral,0.0,02
112-1749339-2729023,2021-02-09 01:01 PM PST,32.84,CERRITOS,CA,90703-7367,US,1,1,Rainforest,0.0,02
111-6582658-6298652,2021-02-09 01:18 PM PST,32.09,LEWIS CENTER,OH,43035-8357,US,1,1,Rainforest,0.0,02
113-5166449-3166601,2021-02-09 03:39 PM PST,29.99,KANSAS CITY,MO,64110-2334,US,1,1,Rainforest,0.0,02
113-0484136-7993835,2021-02-09 03:52 PM PST,32.65,NEW YORK,NY,10031-1138,US,1,1,Rainforest,0.0,02
114-0225278-2375450,2021-02-09 04:37 PM PST,32.57,PHOENIX,AZ,85015-4105,US,1,1,Rainforest,0.0,02
112-9994561-7310656,2021-02-09 05:06 PM PST,31.79,BIRMINGHAM,MI,48009-3058,US,1,1,Floral,0.0,02
114-9418533-7205028,2021-02-09 05:24 PM PST,31.64,GREENFIELD,WI,53221-4709,US,1,1,Rainforest,0.0,02
114-3149661-9704253,2021-02-09 05:28 PM PST,29.99,Clearwater,FL,33767,US,1,1,Rainforest,1.0,02
111-3693441-6128259,2021-02-09 05:44 PM PST,32.54,SAN FRANCISCO,CA,94122-1965,US,1,1,Rainforest,0.0,02
113-1946783-0832226,2021-02-09 06:02 PM PST,32.16,WAKE FOREST,NC,27587-4783,US,1,1,Rainforest,0.0,02
114-3122090-0969842,2021-02-09 06:28 PM PST,31.79,PHOENIXVILLE,PA,19460,US,1,1,Rainforest,0.0,02
114-0614899-8393019,2021-02-09 06:29 PM PST,31.64,WAUWATOSA,WI,53213-2334,US,1,1,Rainforest,0.0,02
113-3977937-5993025,2021-02-09 07:13 PM PST,33.02,SEATTLE,WA,98104-3470,US,1,1,Floral,0.0,02
111-7273642-8525822,2021-02-09 07:35 PM PST,32.54,San Francisco,CA,94107,US,1,1,Rainforest,0.0,02
112-7813618-3723450,2021-02-09 07:44 PM PST,32.76,Menlo Park,CA,94025-6049,US,1,1,Rainforest,0.0,02
112-1605191-3294647,2021-02-09 07:51 PM PST,29.99,LEES SUMMIT,MO,64082-4008,US,1,1,Floral,0.0,02
113-6153538-6556254,2021-02-09 08:47 PM PST,32.2,PRINCETON,MN,55371-3720,US,1,1,Floral,1.0,02
111-3146099-6383466,2021-02-09 09:01 PM PST,32.84,LANCASTER,CA,93535-4226,US,1,1,Rainforest,1.0,02
114-4907777-7049050,2021-02-09 10:00 PM PST,32.76,COTATI,CA,94931-4453,US,1,1,Rainforest,0.0,02
113-8043624-1229015,2021-02-09 10:35 PM PST,32.84,SHERMAN OAKS,CA,91423-2320,US,1,1,Rainforest,0.0,02
111-3391313-7720241,2021-02-10 06:12 AM PST,32.01,LANCASTER,OH,43130-9688,US,1,1,Rainforest,0.0,02
111-0510673-1048269,2021-02-10 06:16 AM PST,29.99,SAINT CLOUD,FL,34769-5330,US,1,1,Floral,0.0,02
113-5158804-4805067,2021-02-10 06:23 AM PST,31.89,MANCHESTER,CT,06042-3533,US,1,1,Floral,0.0,02
112-7413179-2869003,2021-02-10 06:24 AM PST,32.7,PARK CITY,UT,84060-7409,US,1,1,Floral,0.0,02
111-0793435-9531448,2021-02-10 07:17 AM PST,63.96,NEWARK,NJ,07105-3274,US,1,2,Rainforest,0.0,02
112-9999881-0945063,2021-02-10 07:18 AM PST,64.02,WAKEMAN,OH,44889-8436,US,2,2,Both,0.0,02
113-8428676-2665844,2021-02-10 08:16 AM PST,32.31,Anaheim,CA,92804,US,1,1,Floral,0.0,02
114-0269518-4380275,2021-02-10 08:31 AM PST,32.39,WARNERS,NY,13164-9783,US,1,1,Rainforest,0.0,02
113-1360347-2483433,2021-02-10 08:57 AM PST,31.79,RICHMOND,VA,23221-1846,US,1,1,Floral,0.0,02
112-0827381-3762611,2021-02-10 09:33 AM PST,29.99,LEAWOOD,KS,66224-3647,US,1,1,Rainforest,0.0,02
112-5248917-4014661,2021-02-10 10:06 AM PST,32.69,Lenoir City,TN,37772,US,1,1,Floral,1.0,02
113-6872825-4793832,2021-02-10 10:13 AM PST,32.09,CENTERPOINT,IN,47840-2001,US,1,1,Rainforest,0.0,02
112-1095537-4173011,2021-02-10 10:32 AM PST,29.99,ORLANDO,FL,32819-4737,US,1,1,Floral,0.0,02
112-1652487-3325831,2021-02-10 10:35 AM PST,29.99,PANAMA CITY,FL,32404-7042,US,1,1,Rainforest,0.0,02
112-1653829-1609040,2021-02-10 10:35 AM PST,96.03,AMELIA,OH,45102-9215,US,1,3,Rainforest,0.0,02
113-1811286-3399428,2021-02-10 10:58 AM PST,65.16,NEW HYDE PARK,NY,11040-4054,US,2,2,Both,0.0,02
112-4163604-0397039,2021-02-10 12:09 PM PST,32.24,WEED,CA,96094-2309,US,1,1,Floral,0.0,02
114-9280224-2918612,2021-02-10 01:44 PM PST,63.72,WESTBOROUGH,MA,01581-3117,US,2,2,Both,1.0,02
114-8520999-8953058,2021-02-10 02:14 PM PST,31.86,Leominster,MA,1453,US,1,1,Rainforest,0.0,02
113-7586841-2002623,2021-02-10 02:16 PM PST,63.88,SIOUX FALLS,SD,57106,US,2,2,Both,0.0,02
112-6064855-4058607,2021-02-10 02:59 PM PST,31.79,ANN ARBOR,MI,48103-4627,US,1,1,Rainforest,0.0,02
113-9684657-1766631,2021-02-10 03:11 PM PST,32.31,ALPHARETTA,GA,30009-3261,US,1,1,Rainforest,0.0,02
111-2338810-3869027,2021-02-10 03:26 PM PST,32.46,EDMOND,OK,73012-4465,US,1,1,Rainforest,0.0,02
112-0367510-7192262,2021-02-10 03:43 PM PST,64.92,HOUSTON,TX,77004-5937,US,1,2,Rainforest,0.0,02
114-0589675-5424267,2021-02-10 04:01 PM PST,32.16,BAKERSFIELD,CA,93314-8120,US,1,1,Floral,0.0,02
111-2614908-6396218,2021-02-10 04:07 PM PST,32.4,Scottsdale,AZ,85266,US,1,1,Rainforest,0.0,02
114-0626075-9365848,2021-02-10 04:25 PM PST,32.65,Brooklyn,NY,11205,US,1,1,Rainforest,0.0,02
112-7090343-9889826,2021-02-10 05:36 PM PST,32.25,HOPKINS,MN,55343-8472,US,1,1,Rainforest,0.0,02
111-6753910-7342614,2021-02-10 06:23 PM PST,63.58,ALEXANDRIA,VA,22310-1105,US,2,2,Both,0.0,02
114-4873723-2248220,2021-02-10 07:26 PM PST,32.45,COLORADO SPRINGS,CO,80908-5607,US,1,1,Rainforest,1.0,02
112-4571495-0709822,2021-02-10 10:11 PM PST,32.46,AUSTIN,TX,78731-2303,US,1,1,Floral,0.0,02
113-7505726-7653005,2021-02-10 10:42 PM PST,64.32,CHARLOTTE,NC,28215-9747,US,1,2,Rainforest,0.0,02
113-0058204-5342666,2021-02-11 02:14 AM PST,32.5,BREWSTER,NY,10509-6111,US,1,1,Rainforest,0.0,02
113-2234318-7768243,2021-02-11 04:32 AM PST,31.79,ATLANTA,GA,30339-3285,US,1,1,Rainforest,1.0,02
113-8835220-3981855,2021-02-11 04:32 AM PST,31.79,ATLANTA,GA,30339-3285,US,1,1,Floral,1.0,02
114-1926045-3689062,2021-02-11 04:34 AM PST,31.86,TOPSFIELD,MA,01983-1911,US,1,1,Rainforest,0.0,02
114-8916552-9669029,2021-02-11 05:02 AM PST,29.99,MIAMI SHORES,FL,33150-1214,US,1,1,Floral,0.0,02
113-0394208-7024216,2021-02-11 05:29 AM PST,31.86,WESTFIELD,MA,01085-3816,US,1,1,Floral,0.0,02
112-7667914-3129029,2021-02-11 05:30 AM PST,31.79,Coeur D Alene,ID,83815,US,1,1,Floral,0.0,02
114-0771808-9193008,2021-02-11 05:55 AM PST,32.84,LOS ANGELES,CA,90035-2645,US,1,1,Floral,0.0,02
113-2347445-7090617,2021-02-11 07:25 AM PST,31.64,FARMINGTON,ME,04938-6552,US,1,1,Rainforest,0.0,02
114-0405609-9895447,2021-02-11 07:47 AM PST,32.4,SCOTTSDALE,AZ,85255-2630,US,1,1,Rainforest,0.0,02
